PassedAndObstructedTimes,OverallYieldTimes
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0.9857143
71,0.9859155
72,0.9861111
73,0.9863014
74,0.9864865
75,0.9866667
76,0.9736842
77,0.974026
77,0.974026
78,0.974359
79,0.9746835
79,0.9746835
80,0.975
81,0.9753087
82,0.9756098
83,0.9759036
84,0.9761904
85,0.9764706
86,0.9767442
87,0.9770115
88,0.9772727
89,0.9775281
90,0.9666666
91,0.967033
92,0.9673913
93,0.9677419
94,0.9680851
95,0.968421
96,0.96875
97,0.9690722
98,0.9693878
99,0.969697
100,0.97
101,0.970297
102,0.9705882
103,0.9708738
104,0.9711539
105,0.9714286
106,0.9716981
107,0.9719626
108,0.962963
109,0.9633027
110,0.9636363
111,0.963964
112,0.9642857
113,0.9646018
114,0.9649123
115,0.9652174
116,0.9655172
117,0.965812
118,0.9661017
119,0.9663866
120,0.9666666
121,0.9669421
122,0.9672131
123,0.9674796
124,0.9677419
125,0.968
126,0.968254
127,0.968504
128,0.96875
129,0.9689922
130,0.9692308
131,0.9694657
132,0.969697
133,0.9699248
134,0.9701493
135,0.9703704
136,0.9632353
137,0.9635037
138,0.9637681
139,0.9640288
140,0.9642857
141,0.964539
142,0.9647887
143,0.965035
144,0.9652778
145,0.9655172
146,0.9657534
147,0.9659864
148,0.9662162
149,0.9664429
150,0.9666666
151,0.9668874
152,0.9671053
153,0.9673203
154,0.9675325
155,0.9677419
156,0.9679487
157,0.9681529
158,0.9683544
159,0.9685535
160,0.96875
161,0.9689441
162,0.9691358
163,0.9693251
164,0.9695122
165,0.969697
166,0.9698795
167,0.9700599
168,0.9702381
169,0.9704142
169,0.9704142
170,0.9705882
171,0.9707602
172,0.9651163
173,0.9653179
173,0.9653179
174,0.9655172
174,0.9655172
175,0.9657143
176,0.9659091
177,0.9661017
178,0.9662921
179,0.9664804
180,0.9666666
181,0.9668508
182,0.967033
183,0.9672131
184,0.9673913
185,0.9675676
186,0.9677419
187,0.9679145
188,0.9680851
189,0.968254
190,0.968421
190,0.968421
191,0.9685864
192,0.96875
193,0.9689119
194,0.9690722
195,0.9692308
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0.972973
38,0.9736842
39,0.974359
40,0.975
41,0.9756098
42,0.9761904
43,0.9767442
44,0.9772727
45,0.9777778
46,0.9782609
47,0.9787234
48,0.9791667
49,0.9795918
50,0.98
51,0.9803922
52,0.9807692
53,0.9811321
54,0.9814815
55,0.9818182
56,0.9821429
57,0.9824561
58,0.9827586
59,0.9830508
60,0.9833333
61,0.9836066
62,0.983871
63,0.984127
64,0.984375
65,0.9846154
66,0.9848485
67,0.9850746
68,0.9852941
69,0.9855072
70,0.9857143
71,0.9859155
72,0.9861111
73,0.9863014
74,0.9864865
75,0.9866667
76,0.9868421
77,0.987013
78,0.9871795
79,0.9873418
80,0.9875
81,0.9876543
82,0.9878049
83,0.9879518
84,0.9880952
85,0.9882353
86,0.9883721
86,0.9883721
87,0.9885057
88,0.9886364
89,0.988764
90,0.9888889
91,0.989011
92,0.9891304
93,0.9892473
94,0.9893617
95,0.9894737
96,0.9895833
97,0.9896907
98,0.9897959
99,0.989899
100,0.99
101,0.990099
102,0.990196
103,0.9902912
104,0.9903846
105,0.9904762
106,0.990566
107,0.9906542
108,0.9907407
109,0.9908257
109,0.9908257
110,0.9909091
111,0.990991
112,0.9910714
113,0.9911504
114,0.991228
115,0.9913043
116,0.9913793
117,0.991453
118,0.9915254
119,0.9915966
120,0.9916667
121,0.9917355
122,0.9918033
123,0.9918699
124,0.9919355
125,0.992
126,0.9920635
127,0.992126
128,0.9921875
129,0.9922481
130,0.9923077
131,0.9923664
132,0.9924242
133,0.9924812
134,0.9925373
135,0.9925926
136,0.9926471
137,0.9927008
138,0.9927536
138,0.9927536
139,0.9928058
140,0.9928572
141,0.9929078
142,0.9929578
142,0.9929578
143,0.993007
144,0.9930556
145,0.9931034
146,0.9931507
147,0.9931973
148,0.9932432
149,0.9932886
150,0.9933333
151,0.9933775
152,0.9934211
153,0.9934641
154,0.987013
155,0.9870968
156,0.9871795
157,0.9872612
158,0.9873418
159,0.9874214
160,0.98125
160,0.98125
161,0.9813665
162,0.9814815
163,0.9815951
164,0.9817073
165,0.9818182
166,0.9819277
167,0.9820359
168,0.9821429
169,0.9822485
170,0.9823529
171,0.9824561
172,0.9825581
173,0.982659
174,0.9827586
175,0.9828572
176,0.9829546
177,0.9830508
178,0.9831461
179,0.9832402
179,0.9832402
0,0
1,1
2,1
3,1
4,1
4,1
5,1
6,1
7,1
8,1
9,1
9,1
10,1
10,1
11,1
12,1
13,1
14,1
14,1
15,1
15,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
25,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
45,1
46,1
46,1
47,1
48,1
48,1
48,1
49,1
49,1
50,1
51,1
52,1
53,1
53,1
54,1
54,1
54,1
54,1
55,1
56,1
56,1
57,1
58,1
58,1
59,1
60,1
61,1
62,1
63,1
63,1
63,1
64,1
65,1
66,1
67,1
67,1
68,1
69,1
70,1
71,1
71,1
72,1
72,1
73,1
73,1
74,1
